,Pearson r,p-value
SBP_PPG vs SBP_PPW,0.9285483201101149,0.0025214786438160397
SBP_PPG vs SBP_AIx,-0.24974049541037927,0.5891243890423161
SBP_PPG vs SBP_AIx_Red,0.07940975174370868,0.865614466451169
SBP_PPW vs SBP_AIx,-0.5548906142253179,0.19604392510468757
SBP_PPW vs SBP_AIx_Red,0.04812063420424012,0.9184024242466876
SBP_AIx vs SBP_AIx_Red,0.051375156037705906,0.9128978814982937
DBP_PPG vs DBP_PPW,0.928548320110115,0.0025214786438160397
DBP_PPG vs DBP_AIx,-0.2497404954103786,0.5891243890423171
DBP_PPG vs DBP_AIx_Red,0.07940975174370887,0.8656144664511689
DBP_PPW vs DBP_AIx,-0.5548906142253179,0.19604392510468757
DBP_PPW vs DBP_AIx_Red,0.04812063420423937,0.9184024242466889
DBP_AIx vs DBP_AIx_Red,0.05137515603770587,0.9128978814982937
