,Pearson r,p-value
SBP_PPG vs SBP_PPW,0.6469614137153955,0.0050001123052922595
SBP_PPG vs SBP_AIx,0.16372420181605662,0.5300737616669524
SBP_PPG vs SBP_AIx_Red,-0.1975280684416553,0.44729695920621404
SBP_PPW vs SBP_AIx,-0.025802634767015522,0.9216948008478829
SBP_PPW vs SBP_AIx_Red,0.07445460341217106,0.7764140554680626
SBP_AIx vs SBP_AIx_Red,-0.013477321295279116,0.9590564527400847
DBP_PPG vs DBP_PPW,0.6469614137153964,0.005000112305292172
DBP_PPG vs DBP_AIx,0.16372420181605293,0.5300737616669613
DBP_PPG vs DBP_AIx_Red,-0.19752806844165607,0.44729695920621254
DBP_PPW vs DBP_AIx,-0.025802634767016417,0.9216948008478805
DBP_PPW vs DBP_AIx_Red,0.07445460341217283,0.7764140554680572
DBP_AIx vs DBP_AIx_Red,-0.013477321295277688,0.95905645274009
