Filtered Signals
-3.791046554695272353e-02,-1.475864546492479390e-02,-2.483193602210616302e-03
-4.031091799343451687e-02,-1.293633477197177022e-02,6.517590149965855895e-04
-4.024323852930036804e-02,-9.191950548590524517e-03,4.425507670693535830e-03
-3.669695662222761945e-02,-2.403135098764604821e-03,9.277937761567395941e-03
-2.941378685484547645e-02,7.579514129904658948e-03,1.523898012379076503e-02
-1.900605137972507380e-02,1.979402691201165299e-02,2.186070918865740120e-02
-6.850430684167636841e-03,3.234124060481628066e-02,2.827942627790396013e-02
5.218696323664166747e-03,4.281905937535580853e-02,3.338939203446342208e-02
1.532384684867318589e-02,4.889509313547378555e-02,3.608700124657933384e-02
2.193867384518525740e-02,4.886306137560873092e-02,3.552941204842909734e-02
2.415710710759184227e-02,4.204283715272501276e-02,3.134701596453926681e-02
2.179929574609373866e-02,2.893963142079303622e-02,2.375955762740287330e-02
1.537809942983270686e-02,1.115072928209129288e-02,1.357156437347593024e-02
5.973727551702275734e-03,-8.929485318501712010e-03,2.054553151166108038e-03
-4.942848671295885753e-03,-2.852092862296878167e-02,-9.252736953949083909e-03
-1.570794576143074925e-02,-4.489493557686689146e-02,-1.878551614940407455e-02
-2.465920252203310237e-02,-5.576152449415307938e-02,-2.519530606302416639e-02
-3.030946320708151343e-02,-5.955750078795672697e-02,-2.755673843461277361e-02
-3.150351127131195694e-02,-5.561544588961732372e-02,-2.550833932088863651e-02
-2.757016436559187045e-02,-4.421695356791417730e-02,-1.930826702334469819e-02
-1.846373368203679810e-02,-2.654393187827394640e-02,-9.800473182453646459e-03
-4.856551025109897418e-03,-4.541170718584244814e-03,1.700948291110272043e-03
1.186741112824589960e-02,1.929969902752674132e-02,1.359400283752389138e-02
2.974502481690469158e-02,4.222260853011357284e-02,2.421720357776948121e-02
4.648292315466390906e-02,6.153451502489184349e-02,3.209665830817379911e-02
5.978927658292471775e-02,7.494477821135797635e-02,3.617600450396938477e-02
6.774588801754713452e-02,8.087401344025996197e-02,3.598954803717995671e-02
6.916376693407975951e-02,7.868460629576304322e-02,3.174384363486469629e-02
6.383922222765248122e-02,6.878363111715370126e-02,2.428483900444163013e-02
5.261776030651570124e-02,5.255731785026564185e-02,1.494336665948129035e-02
3.721346783498162558e-02,3.212418474387677969e-02,5.272142333679822115e-03
1.981567849874329643e-02,9.941989697333519088e-03,-3.285010789417333252e-03
