Estimated_SBP_AIx_Red,Estimated_DBP_AIx_Red
95.35405594822065,62.77585703444841
106.08936580505261,69.45560538981051
112.39853087969821,73.38130810292334
105.61687951119235,69.16161391807525
107.24460020336835,70.17441790431808
98.34623891040943,64.63765976647697
109.29871460451639,71.45253353169909
114.0578999719439,74.41380442698731
105.1459062297596,68.86856387629486
104.42684413072605,68.42114745911843
100.65805181198364,66.07612112745649
97.98492301502728,64.41284098712809
101.48554952332101,66.59100859228863
103.99027877515285,68.14950679342843
108.05967193567403,70.68157364886385
108.79619382175312,71.13985393353528
99.34248410169246,65.25754566327531
109.45274011902063,71.54837162961283
113.12715800294067,73.83467609071865
105.35512579624569,68.99874493988621
89.22413991371951,58.961687057425465
99.08057407078468,65.09457942182158
106.15308836941065,69.49525498541108
98.850075389889,64.95115802037537
104.18591471260548,68.27123582117675
125.69145690198381,81.65246207234549
95.45584328940586,62.83919138007476
110.34264483649393,72.10209012048512
100.01522614898036,65.67614071492112
103.6442011678026,67.93416961552163
111.63890427292125,72.90865154759544
102.7276144841421,67.36384901235508
109.28860265751308,71.4462416535637
93.6853477048576,61.73754968302251
90.70447195723133,59.88278255116616
113.3958643683823,74.001871162549
133.23178242755245,86.34422017714374
97.4795021760149,64.09835690952039
98.55576712228682,64.76803287608958
101.88223267668793,66.83783366549471
108.6553075551832,71.05219136766954
89.60202150016435,59.19681337788004
104.22540618282399,68.29580829153493
95.31281772104201,62.75019769309281
105.39819261704935,69.0255420728307
99.15743372319389,65.14240320554286
101.49556606999664,66.59724111022012
114.2923116128494,74.55966055910629
90.37753498625919,59.679355102561274
91.43627131275831,60.33812437238294
